"DATE_HEURE";"BT";"GT";"MG";"Da";"Dcr"
"02/28/2018 10:37:52";1;0;0;0;1
"02/28/2018 11:03:43";0;1;0;1;0
"02/28/2018 11:04:02";1;1;1;1;1
"02/28/2018 11:07:32";0;1;0;0;1
"02/28/2018 11:10:42";0;1;0;0;1
"02/28/2018 11:10:57";0;1;0;1;1
"02/28/2018 11:11:07";1;1;1;1;0
"02/28/2018 11:11:16";0;0;1;1;0
"02/28/2018 11:19:10";0;1;0;0;1
"03/01/2018 03:05:02";1;0;0;1;0
"03/01/2018 03:06:07";0;1;0;0;1
"03/01/2018 03:06:10";0;1;0;0;1
"03/07/2018 10:15:52";1;0;0;1;0
"03/07/2018 10:15:55";1;0;0;1;0
"03/22/2018 09:24:10";1;0;0;1;1
"03/22/2018 09:25:42";1;0;0;1;0
"03/22/2018 09:32:10";1;0;0;1;0
"03/22/2018 09:35:46";1;0;0;1;0
"03/22/2018 09:36:37";0;0;1;0;1
"03/22/2018 09:36:58";1;0;1;0;1
"03/22/2018 09:37:37";1;1;0;1;0
"03/22/2018 10:14:04";1;0;0;0;1
"03/22/2018 10:14:24";0;1;0;1;1
"03/22/2018 10:15:26";0;1;0;0;1
"03/22/2018 10:15:52";0;0;1;1;1
"03/22/2018 10:15:57";0;1;1;1;1
"03/22/2018 10:16:38";0;1;1;1;0
"03/22/2018 10:17:31";1;1;0;1;1
"03/22/2018 10:17:46";1;0;0;1;1
"03/22/2018 10:49:20";1;0;0;1;0
"03/22/2018 12:37:38";0;1;0;1;0
"03/22/2018 12:39:57";0;1;0;0;1
"03/22/2018 12:49:13";1;0;0;1;0
"03/22/2018 12:51:02";1;0;0;1;0
"03/22/2018 13:45:47";1;0;0;1;0
"03/22/2018 13:46:48";0;0;1;1;0
"03/22/2018 13:51:24";0;0;1;1;0
"03/22/2018 13:56:41";0;0;1;1;0
"03/22/2018 14:10:47";0;0;1;1;0
"03/22/2018 14:12:58";0;0;1;1;0
"03/22/2018 14:13:08";0;1;1;1;0
"03/22/2018 14:13:38";0;0;1;1;0
"03/22/2018 14:13:42";0;0;1;1;1
"03/22/2018 14:13:47";0;1;1;1;1
"03/22/2018 14:13:56";1;1;1;1;1
"03/22/2018 14:14:05";1;0;1;1;1
"03/22/2018 14:14:09";1;0;0;1;1
"03/22/2018 14:14:13";1;0;0;0;1
"03/22/2018 14:14:22";1;0;0;1;0
"03/22/2018 14:20:09";0;1;0;1;0
"03/22/2018 14:20:17";0;1;1;1;0
"03/22/2018 14:20:20";1;1;1;1;0
"03/22/2018 14:48:43";1;0;0;1;0
"03/22/2018 14:50:38";1;0;0;1;1
"03/22/2018 14:52:19";1;0;0;1;1
"03/22/2018 14:52:22";1;1;0;1;1
"03/22/2018 14:57:15";1;0;0;1;0
"03/22/2018 15:13:50";1;1;0;1;0
"03/22/2018 15:16:17";1;1;0;1;0
